pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2,trip_duration_minutes
2009-01-01,0,CMT,2009-01-01 00:03:40,2009-01-01 00:07:57,1,0.8,-73.97596,40.761257,,,-73.96324,40.758266,Cash,5.0,0,0.0,0.0,0.0,0.0,5.0,0,0,,,4.283333333333333
2009-01-01,0,CMT,2009-01-01 00:03:42,2009-01-01 00:16:53,3,6.2,-73.97348,40.752045,,,-73.915115,40.815018,Cash,16.2,0,0.0,0.0,0.0,0.0,16.2,0,0,,,13.183333333333334
2009-01-01,0,CMT,2009-01-01 00:03:58,2009-01-01 00:11:43,2,0.8,-73.98141,40.728725,,,-73.993935,40.731453,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,7.75
2009-01-01,0,CMT,2009-01-01 00:03:58,2009-01-01 00:08:49,1,1.0,-73.98347,40.78122,,,-73.98957,40.77119,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,4.85
2009-01-01,0,CMT,2009-01-01 00:04:04,2009-01-01 00:14:05,1,2.5,-73.98014,40.761066,,,-73.96954,40.78544,Cash,9.4,0,0.0,0.0,0.0,0.0,9.4,0,0,,,10.016666666666667
2009-01-01,0,CMT,2009-01-01 00:04:15,2009-01-01 00:08:34,1,0.59999996,-74.000694,40.736008,,,-74.00748,40.73203,Cash,4.6,0,0.0,0.0,0.0,0.0,4.6,0,0,,,4.316666666666666
2009-01-01,0,CMT,2009-01-01 00:04:18,2009-01-01 00:13:14,3,1.4,-73.98869,40.731518,,,-74.00646,40.739407,Cash,7.4,0,0.0,0.0,0.0,0.0,7.4,0,0,,,8.933333333333334
2009-01-01,0,CMT,2009-01-01 00:04:23,2009-01-01 00:40:06,2,12.7,-73.88836,40.739315,,,-73.86645,40.731995,Cash,33.4,0,0.0,0.0,0.0,0.0,33.399998,0,0,,,35.71666666666667
2009-01-01,0,CMT,2009-01-01 00:04:25,2009-01-01 00:11:43,2,1.7,-73.97561,40.792046,,,-73.95864,40.809155,Cash,7.4,0,0.0,0.0,0.0,0.0,7.4,0,0,,,7.3
2009-01-01,0,CMT,2009-01-01 00:04:35,2009-01-01 00:14:31,1,1.7,-73.99734,40.75735,,,-73.993774,40.741665,Cash,8.2,0,0.0,0.0,0.0,0.0,8.2,0,0,,,9.933333333333334
2009-01-01,0,CMT,2009-01-01 00:04:39,2009-01-01 00:18:49,2,3.5,-73.97627,40.750538,,,-74.00743,40.716846,Cash,11.8,0,0.0,0.0,0.0,0.0,11.8,0,0,,,14.166666666666666
2009-01-01,0,CMT,2009-01-01 00:04:41,2009-01-01 00:07:17,1,0.5,-73.99381,40.723602,,,-74.001335,40.726517,Cash,4.2,0,0.0,0.0,0.0,0.0,4.2,0,0,,,2.6
2009-01-01,0,CMT,2009-01-01 00:04:41,2009-01-01 00:28:00,2,3.6,-74.00284,40.72964,,,-73.985886,40.765507,Cash,15.0,0,0.0,0.0,0.0,0.0,15.0,0,0,,,23.316666666666666
2009-01-01,0,CMT,2009-01-01 00:04:44,2009-01-01 00:33:21,1,3.1,-73.97673,40.765007,,,-74.00396,40.73351,Cash,15.8,0,0.0,0.0,0.0,0.0,15.8,0,0,,,28.616666666666667
2009-01-01,0,CMT,2009-01-01 00:04:47,2009-01-01 00:27:15,2,7.6,-73.98583,40.747322,,,-73.984566,40.678143,Cash,21.4,0,0.0,0.0,0.0,0.0,21.4,0,0,,,22.466666666666665
2009-01-01,0,CMT,2009-01-01 00:04:51,2009-01-01 00:34:00,1,4.6,-74.00726,40.74002,,,-73.95438,40.76995,Cash,17.8,0,0.0,0.0,0.0,0.0,17.8,0,0,,,29.15
2009-01-01,0,CMT,2009-01-01 00:04:51,2009-01-01 00:06:29,1,0.59999996,-73.96261,40.758987,,,-73.95623,40.767517,Cash,4.2,0,0.0,0.0,0.0,0.0,4.2,0,0,,,1.6333333333333333
2009-01-01,0,CMT,2009-01-01 00:04:52,2009-01-01 00:09:50,1,1.0,-74.00168,40.739346,,,-73.988815,40.731316,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,4.966666666666667
2009-01-01,0,CMT,2009-01-01 00:04:57,2009-01-01 00:19:27,2,3.3999999,-73.96513,40.75522,,,-74.00003,40.730476,Credit,11.8,0,0.0,2.95,0.0,0.0,14.75,0,0,,,14.5
2009-01-01,0,CMT,2009-01-01 00:04:59,2009-01-01 00:12:26,1,1.7,-74.00376,40.732563,,,-73.991066,40.714767,Cash,7.0,0,0.0,0.0,0.0,0.0,7.0,0,0,,,7.45
