pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2012-01-01,0,CMT,2012-01-01 00:02:57,2012-01-01 00:06:58,1,0.5,-73.945404,40.72556,1,N,-73.94394,40.7202,NOC,4.1,0.5,0.5,0.0,0.0,0.0,5.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:10,2012-01-01 00:24:18,1,9.3,-73.97741,40.76109,1,N,-73.93084,40.86509,CRD,22.9,0.5,0.5,2.0,0.0,0.0,25.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:14,2012-01-01 00:07:06,2,0.8,-73.98191,40.77157,1,N,-73.97798,40.78365,CSH,4.9,0.5,0.5,0.0,0.0,0.0,5.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:14,2012-01-01 00:05:36,1,0.5,-73.9518,40.72547,1,N,-73.9484,40.717888,DIS,3.7,0.5,0.5,0.0,0.0,0.0,4.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:15,2012-01-01 00:12:25,1,2.2,-73.96161,40.811264,1,N,-73.93941,40.824337,CRD,8.1,0.5,0.5,2.08,0.0,0.0,11.18,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:21,2012-01-01 00:22:49,1,1.9,-73.992065,40.72565,1,N,-73.9896,40.74737,CRD,10.9,0.5,0.5,2.38,0.0,0.0,14.279999,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:29,2012-01-01 00:15:58,1,2.2,-73.979866,40.743275,1,N,-73.98917,40.71844,CSH,8.9,0.5,0.5,0.0,0.0,0.0,9.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:32,2012-01-01 00:10:56,1,1.6,-73.96805,40.79997,1,N,-73.95281,40.818035,CRD,6.9,0.5,0.5,1.58,0.0,0.0,9.48,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:33,2012-01-01 00:19:27,2,3.3999999,-73.99713,40.76374,1,N,-73.95543,40.773117,CRD,12.1,0.5,0.5,2.62,0.0,0.0,15.72,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:38,2012-01-01 00:23:33,2,4.7,-73.96837,40.799423,1,N,-73.97785,40.747234,CSH,14.9,0.5,0.5,0.0,0.0,0.0,15.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:38,2012-01-01 00:06:13,1,0.5,-73.97284,40.78251,1,N,-73.966965,40.788387,CSH,4.1,0.5,0.5,0.0,0.0,0.0,5.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:03:39,2012-01-01 00:30:45,2,19.5,-73.86411,40.76994,1,N,-73.92447,40.615067,CRD,41.7,0.5,0.5,2.0,0.0,0.0,44.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:02,2012-01-01 00:11:01,0,1.1,-73.98781,40.732197,1,N,-73.99329,40.720303,CRD,5.7,0.5,0.5,1.0,0.0,0.0,7.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:07,2012-01-01 01:04:27,1,12.1,-73.98188,40.759197,6,N,-73.97634,40.788246,CRD,12.5,0.5,0.5,2.5,0.0,0.0,16.0,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:13,2012-01-01 00:04:14,1,0.0,-73.99438,40.761387,1,N,-73.99438,40.761387,CSH,2.5,0.5,0.5,0.0,0.0,0.0,3.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:19,2012-01-01 00:12:49,1,2.0,-73.96648,40.715366,1,N,-73.93951,40.705734,CRD,7.3,0.5,0.5,1.66,0.0,0.0,9.96,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:24,2012-01-01 00:06:52,1,0.5,-73.99272,40.742645,1,N,-73.98501,40.738853,CSH,3.7,0.5,0.5,0.0,0.0,0.0,4.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:27,2012-01-01 00:32:49,1,7.6,-74.006676,40.731125,1,N,-73.95102,40.663406,CRD,21.3,0.5,0.5,6.69,0.0,0.0,28.99,0,0,,
2012-01-01,0,CMT,2012-01-01 00:04:27,2012-01-01 00:16:26,1,3.0,-73.97383,40.757652,1,N,-73.97989,40.788815,CSH,10.5,0.5,0.5,0.0,0.0,0.0,11.5,0,0,,
